"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Aciclovir|Plasma Unbound [µmol/l]"
0,1014,0.17829269,0.130867
0,1017,0.17608368,0.12920167
0,1020,0.17390321,0.12755835
0,1023,0.17175089,0.12593673
0,1026,0.16962634,0.12433653
0,1029,0.16752921,0.12275746
0,1032,0.16545914,0.121199235
0,1035,0.16341576,0.11966157
0,1038,0.1613987,0.11814418
0,1041,0.15940762,0.11664679
0,1044,0.15744215,0.11516912
0,1047,0.15550198,0.11371092
0,1050,0.15358676,0.11227191
0,1053,0.15169616,0.11085183
0,1056,0.14982983,0.10945043
0,1059,0.14798747,0.108067445
0,1062,0.14616878,0.10670266
0,1065,0.14437343,0.10535581
0,1068,0.1426011,0.10402664
0,1071,0.1408515,0.10271492
0,1074,0.1391243,0.10142041
0,1077,0.13741922,0.100142874
0,1080,0.13573597,0.098882094
0,1083,0.13407426,0.097637825
0,1086,0.13243379,0.09640986
0,1089,0.13081428,0.09519796
0,1092,0.12921546,0.09400193
0,1095,0.12763709,0.09282156
0,1098,0.12607886,0.09165662
0,1101,0.1245405,0.09050691
0,1104,0.12302177,0.089372225
0,1107,0.12152238,0.08825236
0,1110,0.1200421,0.08714711
0,1113,0.11858067,0.086056285
0,1116,0.117137834,0.08497968
0,1119,0.11571335,0.08391712
0,1122,0.11430697,0.08286839
0,1125,0.11291848,0.08183335
0,1128,0.111547634,0.080811776
0,1131,0.11019419,0.079803504
0,1134,0.10885792,0.078808345
0,1137,0.10753861,0.07782613
0,1140,0.10623602,0.07685668
0,1143,0.10494993,0.07589983
0,1146,0.10368013,0.0749554
0,1149,0.1024264,0.074023224
0,1152,0.10118853,0.073103145
0,1155,0.099966325,0.07219501
0,1158,0.09875958,0.071298644
0,1161,0.09756807,0.0704139
0,1164,0.09639162,0.06954061
0,1167,0.095230006,0.06867863
0,1170,0.094083056,0.06782781
0,1173,0.09295056,0.06698799
